t,x,y,couleur
0,8.36739,39.7963,bleu
0,8.36739,40.9188,bleu
0,8.36739,42.0412,bleu
0,8.36739,43.1637,bleu
0,8.36739,44.2862,bleu
0,8.36739,45.4086,bleu
0,8.36739,46.5311,bleu
0,8.36739,47.6536,bleu
0,8.36739,48.776,bleu
0,9.48985,5,bleu
0,9.48985,6.12246,bleu
0,9.48985,7.24492,bleu
0,9.48985,8.36739,bleu
0,9.48985,9.48985,bleu
0,9.48985,10.6123,bleu
0,9.48985,11.7348,bleu
0,9.48985,12.8572,bleu
0,9.48985,13.9797,bleu
0,9.48985,15.1022,bleu
0,9.48985,16.2246,bleu
0,9.48985,17.3471,bleu
0,9.48985,18.4695,bleu
0,9.48985,19.592,bleu
0,9.48985,20.7145,bleu
0,9.48985,21.8369,bleu
0,9.48985,22.9594,bleu
0,9.48985,24.0819,bleu
0,9.48985,25.2043,bleu
0,9.48985,26.3268,bleu
0,9.48985,27.4492,bleu
0,9.48985,28.5717,bleu
0,9.48985,29.6942,bleu
0,9.48985,30.8166,bleu
0,9.48985,31.9391,bleu
0,9.48985,33.0616,bleu
0,9.48985,34.184,bleu
0,9.48985,35.3065,bleu
0,9.48985,36.4289,bleu
0,9.48985,37.5514,bleu
0,9.48985,38.6739,bleu
0,9.48985,39.7963,bleu
0,9.48985,40.9188,bleu
0,9.48985,42.0412,bleu
0,9.48985,43.1637,bleu
0,9.48985,44.2862,bleu
0,9.48985,45.4086,bleu
0,9.48985,46.5311,bleu
0,9.48985,47.6536,bleu
0,9.48985,48.776,bleu
0,10.6123,5,bleu
0,10.6123,6.12246,bleu
0,10.6123,7.24492,bleu
0,10.6123,8.36739,bleu
0,10.6123,9.48985,bleu
0,10.6123,10.6123,bleu
0,10.6123,11.7348,bleu
0,10.6123,12.8572,bleu
0,10.6123,13.9797,bleu
0,10.6123,15.1022,bleu
0,10.6123,16.2246,bleu
0,10.6123,17.3471,bleu
0,10.6123,18.4695,bleu
0,10.6123,19.592,bleu
0,10.6123,20.7145,bleu
0,10.6123,21.8369,bleu
0,10.6123,22.9594,bleu
0,10.6123,24.0819,bleu
0,10.6123,25.2043,bleu
0,10.6123,26.3268,bleu
0,10.6123,27.4492,bleu
0,10.6123,28.5717,bleu
0,10.6123,29.6942,bleu
0,10.6123,30.8166,bleu
0,10.6123,31.9391,bleu
0,10.6123,33.0616,bleu
0,10.6123,34.184,bleu
0,10.6123,35.3065,bleu
0,10.6123,36.4289,bleu
0,10.6123,37.5514,bleu
0,10.6123,38.6739,bleu
0,10.6123,39.7963,bleu
0,10.6123,40.9188,bleu
0,10.6123,42.0412,bleu
0,10.6123,43.1637,bleu
0,10.6123,44.2862,bleu
0,10.6123,45.4086,bleu
0,10.6123,46.5311,bleu
0,10.6123,47.6536,bleu
0,10.6123,48.776,bleu
0,11.7348,5,bleu
0,11.7348,6.12246,bleu
0,11.7348,7.24492,bleu
0,11.7348,8.36739,bleu
0,11.7348,9.48985,bleu
0,11.7348,10.6123,bleu
0,11.7348,11.7348,bleu
0,11.7348,12.8572,bleu
0,11.7348,13.9797,bleu
0,11.7348,15.1022,bleu
0,11.7348,16.2246,bleu
0,11.7348,17.3471,bleu
0,11.7348,18.4695,bleu
0,11.7348,19.592,bleu
0,11.7348,20.7145,bleu
0,11.7348,21.8369,bleu
0,11.7348,22.9594,bleu
0,11.7348,24.0819,bleu
0,11.7348,25.2043,bleu
0,11.7348,26.3268,bleu
0,11.7348,27.4492,bleu
0,11.7348,28.5717,bleu
0,11.7348,29.6942,bleu
0,11.7348,30.8166,bleu
0,11.7348,31.9391,bleu
0,11.7348,33.0616,bleu
0,11.7348,34.184,bleu
0,11.7348,35.3065,bleu
0,11.7348,36.4289,bleu
0,11.7348,37.5514,bleu
0,11.7348,38.6739,bleu
0,11.7348,39.7963,bleu
0,11.7348,40.9188,bleu
0,11.7348,42.0412,bleu
0,11.7348,43.1637,bleu
0,11.7348,44.2862,bleu
0,11.7348,45.4086,bleu
0,11.7348,46.5311,bleu
0,11.7348,47.6536,bleu
0,11.7348,48.776,bleu
0,12.8572,5,bleu
0,12.8572,6.12246,bleu
0,12.8572,7.24492,bleu
0,12.8572,8.36739,bleu
0,12.8572,9.48985,bleu
0,12.8572,10.6123,bleu
0,12.8572,11.7348,bleu
0,12.8572,12.8572,bleu
0,12.8572,13.9797,bleu
0,12.8572,15.1022,bleu
0,12.8572,16.2246,bleu
0,12.8572,17.3471,bleu
0,12.8572,18.4695,bleu
0,12.8572,19.592,bleu
0,12.8572,20.7145,bleu
0,12.8572,21.8369,bleu
0,12.8572,22.9594,bleu
0,12.8572,24.0819,bleu
0,12.8572,25.2043,bleu
0,12.8572,26.3268,bleu
0,12.8572,27.4492,bleu
0,12.8572,28.5717,bleu
0,12.8572,29.6942,bleu
0,12.8572,30.8166,bleu
0,12.8572,31.9391,bleu
0,12.8572,33.0616,bleu
0,12.8572,34.184,bleu
0,12.8572,35.3065,bleu
0,12.8572,36.4289,bleu
0,12.8572,37.5514,bleu
0,12.8572,38.6739,bleu
0,12.8572,39.7963,bleu
0,12.8572,40.9188,bleu
0,12.8572,42.0412,bleu
0,12.8572,43.1637,bleu
0,12.8572,44.2862,bleu
0,12.8572,45.4086,bleu
0,12.8572,46.5311,bleu
0,12.8572,47.6536,bleu
0,12.8572,48.776,bleu
0,13.9797,5,bleu
0,13.9797,6.12246,bleu
0,13.9797,7.24492,bleu
0,13.9797,8.36739,bleu
0,13.9797,9.48985,bleu
0,13.9797,10.6123,bleu
0,13.9797,11.7348,bleu
0,13.9797,12.8572,bleu
0,13.9797,13.9797,bleu
0,13.9797,15.1022,bleu
0,13.9797,16.2246,bleu
0,13.9797,17.3471,bleu
0,13.9797,18.4695,bleu
0,13.9797,19.592,bleu
